,word,word_count,new_date_x,percentage
425,coronavirus,5,2020-03-24,0.009009009009009010
426,coronavirus,5,2020-03-25,0.010040160642570300
427,coronavirus,4,2020-03-26,0.007054673721340390
428,coronavirus,6,2020-03-27,0.012195121951219500
429,coronavirus,3,2020-03-28,0.007575757575757580
1032,total,0,2020-01-03,0.0
1033,total,1,2020-01-04,0.003355704697986580
1034,total,0,2020-01-05,0.0
1035,total,1,2020-01-06,0.0020833333333333300
1036,total,1,2020-01-07,0.002369668246445500
1037,total,1,2020-01-08,0.0018484288354898300
1038,total,0,2020-01-09,0.0
1039,total,2,2020-01-10,0.004705882352941180
1040,total,0,2020-01-11,0.0
1041,total,0,2020-01-12,0.0
1042,total,1,2020-01-13,0.0024875621890547300
1043,total,1,2020-01-14,0.002364066193853430
1044,total,2,2020-01-15,0.004415011037527590
1045,total,0,2020-01-16,0.0
1046,total,1,2020-01-17,0.0021008403361344500
1047,total,1,2020-01-18,0.004032258064516130
1048,total,1,2020-01-19,0.0027247956403269800
1049,total,2,2020-01-20,0.0041928721174004200
1050,total,1,2020-01-21,0.0024509803921568600
1051,total,0,2020-01-22,0.0
1052,total,0,2020-01-23,0.0
1053,total,1,2020-01-24,0.004784688995215310
1054,total,1,2020-01-25,0.004484304932735430
1055,total,2,2020-01-26,0.007722007722007720
1056,total,1,2020-01-27,0.003367003367003370
1057,total,1,2020-01-28,0.003048780487804880
1058,total,1,2020-01-29,0.003745318352059930
1059,total,0,2020-01-30,0.0
1060,total,0,2020-01-31,0.0
1061,total,0,2020-02-01,0.0
1062,total,0,2020-02-02,0.0
1063,total,1,2020-02-03,0.00228310502283105
1064,total,2,2020-02-04,0.004464285714285710
1065,total,0,2020-02-05,0.0
1066,total,1,2020-02-06,0.0024096385542168700
1067,total,3,2020-02-07,0.006382978723404260
1068,total,1,2020-02-08,0.003676470588235290
1069,total,1,2020-02-09,0.00398406374501992
1070,total,1,2020-02-10,0.0019646365422396900
1071,total,0,2020-02-11,0.0
1072,total,2,2020-02-12,0.004975124378109450
1073,total,2,2020-02-13,0.004016064257028110
1074,total,2,2020-02-14,0.0047169811320754700
1075,total,1,2020-02-15,0.004032258064516130
1076,total,0,2020-02-16,0.0
