,count_in_china_andothers,word_in_china_andothers,datechina_andothers,count_in_onlyworld,word_in_onlyworld,dateonlyworld,count_in_onlychina,word_in_onlychina,dateonlychina,count_in_all,word_in_all,dateall,percent_in_china_andothers,word_in_china_andothers_y,datechina_andothers_y,percent_in_only_world,word_in_only_world,dateonly_world,percent_in_only_china,word_in_only_china,dateonly_china
135,0,day,2020-01,0,day,2020-01,5,day,2020-01,13,day,2020-01,0.0,day,2020-01,0.0,day,2020-01,0.0009778994719342850,day,2020-01
136,2,day,2020-02,2,day,2020-02,9,day,2020-02,26,day,2020-02,0.007575757575757580,day,2020-02,0.00033932813030200200,day,2020-02,0.001526976586359010,day,2020-02
137,1,day,2020-03,13,day,2020-03,15,day,2020-03,39,day,2020-03,0.0013175230566534900,day,2020-03,0.002616747181964570,day,2020-03,0.0030193236714975800,day,2020-03
138,1,million,2020-01,2,million,2020-01,24,million,2020-01,34,million,2020-01,0.0031847133757961800,million,2020-01,0.00039115978877371400,million,2020-01,0.004693917465284570,million,2020-01
139,0,million,2020-02,0,million,2020-02,17,million,2020-02,18,million,2020-02,0.0,million,2020-02,0.0,million,2020-02,0.0028842891075670200,million,2020-02
140,6,million,2020-03,6,million,2020-03,10,million,2020-03,24,million,2020-03,0.007905138339920950,million,2020-03,0.0012077294685990300,million,2020-03,0.002012882447665060,million,2020-03
141,0,nw,2020-01,0,nw,2020-01,33,nw,2020-01,38,nw,2020-01,0.0,nw,2020-01,0.0,nw,2020-01,0.006454136514766280,nw,2020-01
142,0,nw,2020-02,0,nw,2020-02,15,nw,2020-02,23,nw,2020-02,0.0,nw,2020-02,0.0,nw,2020-02,0.002544960977265020,nw,2020-02
143,0,nw,2020-03,0,nw,2020-03,12,nw,2020-03,14,nw,2020-03,0.0,nw,2020-03,0.0,nw,2020-03,0.0024154589371980700,nw,2020-03
144,1,central,2020-01,1,central,2020-01,17,central,2020-01,29,central,2020-01,0.0031847133757961800,central,2020-01,0.00019557989438685700,central,2020-01,0.0033248582045765700,central,2020-01
